index,image_path,question,answer,type,A,B,C,D,E,F,G,H
0,data/3_comp/na_os_oc_up_center_single_down_center_single_RAVEN_9999_test.png,holder,C,0,A,B,C,D,E,F,G,H
1,data/3_comp/na_os_oc_distribute_four_RAVEN_9770_train.png,holder,F,0,A,B,C,D,E,F,G,H
2,data/3_comp/na_os_oc_in_center_single_out_center_single_RAVEN_9991_train.png,holder,C,0,A,B,C,D,E,F,G,H
3,data/3_comp/na_os_oc_in_center_single_out_center_single_RAVEN_9918_test.png,holder,F,0,A,B,C,D,E,F,G,H
4,data/3_comp/na_os_oc_up_center_single_down_center_single_RAVEN_9997_val.png,holder,C,0,A,B,C,D,E,F,G,H
5,data/3_comp/na_os_oc_distribute_nine_RAVEN_9879_test.png,holder,H,0,A,B,C,D,E,F,G,H
6,data/3_comp/na_os_oc_in_distribute_four_out_center_single_RAVEN_9491_train.png,holder,C,0,A,B,C,D,E,F,G,H
7,data/3_comp/na_os_oc_distribute_nine_RAVEN_9873_train.png,holder,B,0,A,B,C,D,E,F,G,H
8,data/3_comp/na_os_oc_left_center_single_right_center_single_RAVEN_9970_train.png,holder,G,0,A,B,C,D,E,F,G,H
9,data/3_comp/na_os_oc_distribute_four_RAVEN_9758_test.png,holder,F,0,A,B,C,D,E,F,G,H
10,data/3_comp/na_os_oc_center_single_RAVEN_9883_train.png,holder,C,0,A,B,C,D,E,F,G,H
11,data/3_comp/na_os_oc_in_distribute_four_out_center_single_RAVEN_9489_test.png,holder,E,0,A,B,C,D,E,F,G,H
12,data/3_comp/na_os_oc_left_center_single_right_center_single_RAVEN_9979_test.png,holder,E,0,A,B,C,D,E,F,G,H
13,data/3_comp/na_os_oc_center_single_RAVEN_9874_train.png,holder,G,0,A,B,C,D,E,F,G,H
